()
0:(0,0,0,0,3,162,0,0,0,0,3,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)
1:(1,1,0,0,3,162,0,0,0,0,3,162,0,0,0,0,5,0,5,0,0,-25,0,-25,0,0,0,0,0,0,0,0)
2:(1,1,0,0,3,162,0,0,0,0,3,162,0,0,0,0,5,0,5,0,0,25,0,25,0,0,0,0,0,0,0,0)
3:(2,2,9,963,0,32,0,0,0,0,2,236,9,962,4,981,9,988,4,975,0,-25,0,-25,9,963,0,0,0,0,0,0)
4:(2,2,9,963,0,32,0,0,0,0,2,236,9,962,4,981,9,988,4,975,0,25,0,25,9,963,0,0,0,0,0,0)
5:(2,2,10,38,0,32,0,0,0,0,2,236,10,37,5,19,10,13,5,25,0,-25,0,-25,10,38,0,0,0,0,0,0)
6:(2,2,10,38,0,32,0,0,0,0,2,236,10,37,5,19,10,13,5,25,0,25,0,25,10,38,0,0,0,0,0,0)
7:(3,3,14,926,0,24,0,21,0,0,0,48,14,926,4,964,14,951,4,950,0,-25,0,-25,0,-18,0,0,0,0,0,0)
8:(3,3,14,926,0,24,0,21,0,0,0,48,14,926,4,964,14,951,4,950,0,25,0,25,0,-18,0,0,0,0,0,0)
9:(3,3,15,0,0,24,0,21,0,0,0,48,15,0,5,38,14,975,5,0,0,-25,0,-25,0,57,0,0,0,0,0,0)
10:(3,3,15,0,0,24,0,21,0,0,0,48,15,0,5,38,14,975,5,0,0,25,0,25,0,57,0,0,0,0,0,0)
11:(3,3,15,1,0,24,0,21,0,0,0,48,15,1,4,964,15,26,5,0,0,-25,0,-25,0,-56,0,0,0,0,0,0)
12:(3,3,15,1,0,24,0,21,0,0,0,48,15,1,4,964,15,26,5,0,0,25,0,25,0,-56,0,0,0,0,0,0)
13:(3,3,15,76,0,24,0,21,0,0,0,48,15,75,5,38,15,51,5,50,0,-25,0,-25,0,19,0,0,0,0,0,0)
14:(3,3,15,76,0,24,0,21,0,0,0,48,15,75,5,38,15,51,5,50,0,25,0,25,0,19,0,0,0,0,0,0)
